秦山核电基地 (秦山镇),大亚湾/岭澳核电厂 (东山),阳江核电厂 (粤西分部),田湾核电站 (连云港镇),红沿河核电厂 (复州城),宁德核电厂 (福鼎站),福清核电厂 (黄岐),昌江核电厂 (石碌镇),防城港核电厂 (前沿站),秦山核电基地 (秦山镇),大亚湾/岭澳核电厂 (东山),阳江核电厂 (粤西分部),田湾核电站 (连云港镇),红沿河核电厂 (复州城),宁德核电厂 (福鼎站),福清核电厂 (黄岐),昌江核电厂 (石碌镇),防城港核电厂 (前沿站)
,,,,,,,,,,,,,,,,,
104 nGy/h,137 nGy/h,97 nGy/h,91 nGy/h,87 nGy/h,82 nGy/h,106 nGy/h,132 nGy/h,86 nGy/h,102 nGy/h,137 nGy/h,96 nGy/h,91 nGy/h,87 nGy/h,82 nGy/h,105 nGy/h,132 nGy/h,85 nGy/h
